id,utterance,label
deepseek-probe-00001,Show me how you pick up objects.,motion_query
deepseek-probe-00002,What are your limitations in terms of movement?,chat
deepseek-probe-00003,What should I pack for a trip to the beach?,chat
deepseek-probe-00004,Take my hand and lead me to the door.,motion_query
deepseek-probe-00005,Pick up the blue cup from the table.,motion_query
deepseek-probe-00006,Show me the gesture for hello.,motion_query
deepseek-probe-00007,What should I do if my phone won't charge?,chat
deepseek-probe-00008,"I feel sad, can you cheer me up with a joke?",chat
deepseek-probe-00009,Freeze your movement now.,motion_query
deepseek-probe-00010,Pick up that pencil and hand it to me.,motion_query
deepseek-probe-00011,I'm feeling a bit down. Can you cheer me up?,chat
deepseek-probe-00012,Place the cube on the red target.,motion_query
deepseek-probe-00013,Can you recommend a good book on robotics?,chat
deepseek-probe-00014,What types of sensors do you have?,chat
deepseek-probe-00015,Raise your arm to get attention.,motion_query
deepseek-probe-00016,Show me how to do a somersault.,motion_query
deepseek-probe-00017,Turn your back to the wall.,motion_query
deepseek-probe-00018,Gesture towards the left side.,motion_query
deepseek-probe-00019,Bring me the blue folder from the table.,motion_query
deepseek-probe-00020,Bring me the red cup from the shelf.,motion_query
deepseek-probe-00021,Rotate the handle clockwise.,motion_query
deepseek-probe-00022,"My phone isn't charging properly, any ideas?",chat
deepseek-probe-00023,Can you explain why the sky is blue?,chat
deepseek-probe-00024,Point at the exit door.,motion_query
deepseek-probe-00025,Show me how to do a sit-up.,motion_query
deepseek-probe-00026,Gently push the chair under the desk.,motion_query
deepseek-probe-00027,What are your capabilities regarding object recognition?,chat
deepseek-probe-00028,I want you to act out the emotion of surprise with your face.,motion_query
deepseek-probe-00029,Turn left at the next hallway.,motion_query
deepseek-probe-00030,Can you help me brainstorm gift ideas for my mom?,chat
deepseek-probe-00031,Turn left 90 degrees.,motion_query
deepseek-probe-00032,Can you describe your capabilities?,chat
deepseek-probe-00033,Would you rather be a cat or a dog?,chat
deepseek-probe-00034,How's your day going?,chat
deepseek-probe-00035,Turn your head to look at the window.,motion_query
deepseek-probe-00036,Walk over to the window and look outside.,motion_query
deepseek-probe-00037,Show me how to bow respectfully.,motion_query
deepseek-probe-00038,Hand me that book from the shelf.,motion_query
deepseek-probe-00039,Wave goodbye to the camera.,motion_query
deepseek-probe-00040,"My robot arm is not responding, what could be wrong?",chat
deepseek-probe-00041,Act out brushing your teeth.,motion_query
deepseek-probe-00042,What time should I leave for the airport?,chat
deepseek-probe-00043,Get the red book from the shelf.,motion_query
deepseek-probe-00044,Could you show me the way?,chat
deepseek-probe-00045,Hand me that tool.,motion_query
deepseek-probe-00046,Raise your arm to indicate the location.,motion_query
deepseek-probe-00047,What's a good route for a morning run?,chat
deepseek-probe-00048,Do you have any suggestions for improving my productivity?,chat
deepseek-probe-00049,How many steps are in your walking algorithm?,chat
deepseek-probe-00050,How do I fix a network connection?,chat
deepseek-probe-00051,Shake your body.,motion_query
deepseek-probe-00052,Carefully lower the box onto the ground.,motion_query
deepseek-probe-00053,Carry the stack of papers to the printer.,motion_query
deepseek-probe-00054,Stop all motion now!,motion_query
deepseek-probe-00055,Remain in this spot until I return.,motion_query
deepseek-probe-00056,Pour water into the glass on the table.,motion_query
deepseek-probe-00057,Can you explain how your navigation system works?,chat
deepseek-probe-00058,Look at the painting on the left wall.,motion_query
deepseek-probe-00059,What languages do you speak?,chat
deepseek-probe-00060,What do you think about the weather today?,chat
deepseek-probe-00061,Stand between me and the door.,motion_query
deepseek-probe-00062,"Back up a little, you're too close.",motion_query
deepseek-probe-00063,Stop moving until I say go.,motion_query
deepseek-probe-00064,Pick up the remote from the table.,motion_query
deepseek-probe-00065,What movie do you recommend tonight?,chat
deepseek-probe-00066,Could you describe the layout of this room?,chat
deepseek-probe-00067,What movie do you recommend for tonight?,chat
deepseek-probe-00068,Can you wave your hand to greet the guests?,motion_query
deepseek-probe-00069,Walk to the window.,motion_query
deepseek-probe-00070,"My phone won't turn on, any ideas?",chat
deepseek-probe-00071,Point at the ceiling.,motion_query
deepseek-probe-00072,Follow that person and stay close.,motion_query
deepseek-probe-00073,I need help planning a dinner menu.,chat
deepseek-probe-00074,"I'm feeling stressed, can you suggest a relaxation technique?",chat
deepseek-probe-00075,Reenact a robot malfunction.,motion_query
deepseek-probe-00076,Turn left at the next corner.,motion_query
deepseek-probe-00077,Is it better to take the stairs or elevator for health?,chat
deepseek-probe-00078,Bring me my glasses.,motion_query
deepseek-probe-00079,Explain the steps to solve this equation.,chat
deepseek-probe-00080,Show me how to clap.,motion_query
deepseek-probe-00081,Act out a confused expression.,motion_query
deepseek-probe-00082,Can you explain the difference between a virus and a bacteria?,chat
deepseek-probe-00083,Turn around and face me.,motion_query
deepseek-probe-00084,Show me your grasping ability by picking up the cup.,motion_query
deepseek-probe-00085,Turn your body away from the laser.,motion_query
deepseek-probe-00086,Bring me the remote control from the coffee table.,motion_query
deepseek-probe-00087,Can you recommend a healthy breakfast recipe?,chat
deepseek-probe-00088,Wave to the camera.,motion_query
deepseek-probe-00089,"Tell me the directions, but don't point.",chat
deepseek-probe-00090,Tell me about your favorite movie.,chat
deepseek-probe-00091,How is your day going?,chat
deepseek-probe-00092,Let's plan a route for tomorrow's hike.,chat
deepseek-probe-00093,Can you give me advice on improving my public speaking?,chat
deepseek-probe-00094,Recommend a good recipe for dinner.,chat
deepseek-probe-00095,Show me how to perform a cartwheel.,motion_query
deepseek-probe-00096,Follow that car slowly.,motion_query
deepseek-probe-00097,Perform a bow to acknowledge the guest.,motion_query
deepseek-probe-00098,Bring me that red cup from the table.,motion_query
deepseek-probe-00099,What are the best practices for time management?,chat
deepseek-probe-00100,What steps should I take to bake a cake?,chat
deepseek-probe-00101,What capabilities do you have for object recognition?,chat
deepseek-probe-00102,Can you summarize the plot of Romeo and Juliet?,chat
deepseek-probe-00103,Explain the concept of gravity to a five-year-old.,chat
deepseek-probe-00104,Could you describe your features in words?,chat
deepseek-probe-00105,Hand me the red cup on the table.,motion_query
deepseek-probe-00106,Point to the nearest fire extinguisher.,motion_query
deepseek-probe-00107,"Stop moving, there's a glass on the floor.",motion_query
deepseek-probe-00108,Pick up the pencil and write your name.,motion_query
deepseek-probe-00109,Act out a scene from a movie.,motion_query
deepseek-probe-00110,What should I bring to the picnic?,chat
deepseek-probe-00111,Do a spin.,motion_query
deepseek-probe-00112,Slide the drawer closed.,motion_query
deepseek-probe-00113,Show me how to tie a knot.,motion_query
deepseek-probe-00114,Pick up the book from the floor.,motion_query
deepseek-probe-00115,Stay in your current position until I return.,motion_query
deepseek-probe-00116,Walk over to the table and pick up the book.,motion_query
deepseek-probe-00117,Stop moving and freeze.,motion_query
deepseek-probe-00118,My phone is not charging. What might be the issue?,chat
deepseek-probe-00119,Can you help me with this?,chat
deepseek-probe-00120,Can you tell me about your navigation abilities?,chat
deepseek-probe-00121,Summarize today's news in three sentences.,chat
deepseek-probe-00122,I'm feeling lonely. Can you cheer me up?,chat
deepseek-probe-00123,Stay in place.,motion_query
deepseek-probe-00124,What would be a good gift for my mother's birthday?,chat
deepseek-probe-00125,Can you explain how the weather forecast works?,chat
deepseek-probe-00126,Wave your hand to signal the start.,motion_query
deepseek-probe-00127,I feel tired today.,chat
deepseek-probe-00128,Bring me the blue mug from the kitchen.,motion_query
deepseek-probe-00129,"I had a rough day, can you cheer me up?",chat
deepseek-probe-00130,I'm feeling a bit down. Can you cheer me up with a joke?,chat
deepseek-probe-00131,Explain the rules of chess to me.,chat
deepseek-probe-00132,Answer with a thumbs up if you agree.,motion_query
deepseek-probe-00133,What tasks can you perform autonomously?,chat
deepseek-probe-00134,"I need to plan a meeting, can you help with agenda?",chat
deepseek-probe-00135,"My phone won't charge, any ideas?",chat
deepseek-probe-00136,Lower your arm to your side.,motion_query
deepseek-probe-00137,Do you have any suggestions for dinner recipes?,chat
deepseek-probe-00138,I'm feeling sad. Can you tell me something cheerful?,chat
deepseek-probe-00139,What are your thoughts on renewable energy?,chat
deepseek-probe-00140,Stop and look at me.,motion_query
deepseek-probe-00141,Can you tell me the weather forecast?,chat
deepseek-probe-00142,What are your thoughts on artificial intelligence ethics?,chat
deepseek-probe-00143,What movie would you suggest I watch tonight?,chat
deepseek-probe-00144,Show me how to do a yoga stretch.,motion_query
deepseek-probe-00145,I need advice on how to organize my closet.,chat
deepseek-probe-00146,"I'm feeling stressed, can you tell me a joke?",chat
deepseek-probe-00147,Fetch the red book from the shelf.,motion_query
deepseek-probe-00148,"My phone won't charge, what can I do?",chat
deepseek-probe-00149,Demonstrate a wave.,motion_query
deepseek-probe-00150,Can you tell me a joke to lighten the mood?,chat
deepseek-probe-00151,Demonstrate the correct posture for lifting.,motion_query
deepseek-probe-00152,Point at the person who just spoke.,motion_query
deepseek-probe-00153,Can you describe your obstacle detection system?,chat
deepseek-probe-00154,Hand me the remote control from the table.,motion_query
deepseek-probe-00155,Wave your hand to greet the visitors.,motion_query
deepseek-probe-00156,Turn and look at the painting on the wall.,motion_query
deepseek-probe-00157,Turn your head to look at the clock.,motion_query
deepseek-probe-00158,What should I pack for a beach trip?,chat
deepseek-probe-00159,Is it going to rain tomorrow?,chat
deepseek-probe-00160,Step to the left to avoid the obstacle.,motion_query
deepseek-probe-00161,Tell me how to perform a cartwheel without demonstrating.,chat
deepseek-probe-00162,Please bring me the remote control from the table.,motion_query
deepseek-probe-00163,What does 'photosynthesis' mean?,chat
deepseek-probe-00164,What is a good recipe for chocolate cake?,chat
deepseek-probe-00165,Point to the emergency exit sign.,motion_query
deepseek-probe-00166,"I'm feeling a bit stressed, can you tell me a relaxation technique?",chat
deepseek-probe-00167,Can you explain how to reset the password?,chat
deepseek-probe-00168,What should I prepare for tomorrow's meeting?,chat
deepseek-probe-00169,Do you have any recommendations for a good book?,chat
deepseek-probe-00170,What is the atomic number of gold?,chat
deepseek-probe-00171,Show me how to do a squat correctly.,motion_query
deepseek-probe-00172,Look at the person who just entered.,motion_query
deepseek-probe-00173,Wave your hand to say goodbye.,motion_query
deepseek-probe-00174,I need you to help me concentrate.,chat
deepseek-probe-00175,Which movie would you recommend for a family night?,chat
deepseek-probe-00176,Do you have any advice for learning a new language?,chat
deepseek-probe-00177,Can you help me with this box?,chat
deepseek-probe-00178,Bring me the red folder from the desk.,motion_query
deepseek-probe-00179,Lift your arm up if you understand.,motion_query
deepseek-probe-00180,Can you help me plan a weekend itinerary for Paris?,chat
deepseek-probe-00181,Stop moving and wait here.,motion_query
deepseek-probe-00182,What languages can you understand?,chat
deepseek-probe-00183,What movie would you recommend for a rainy day?,chat
deepseek-probe-00184,What steps should I follow to bake a chocolate cake?,chat
deepseek-probe-00185,Can you tell me about your sensors?,chat
deepseek-probe-00186,Go to the front door and wait.,motion_query
deepseek-probe-00187,What are the symptoms of dehydration?,chat
deepseek-probe-00188,What do you recommend I cook for dinner with chicken and rice?,chat
deepseek-probe-00189,Bring me my glasses from the nightstand.,motion_query
deepseek-probe-00190,Bring me that pen.,motion_query
deepseek-probe-00191,Can you show me what the Eiffel Tower looks like?,chat
deepseek-probe-00192,Come closer so I can see your screen.,motion_query
deepseek-probe-00193,Wave your hand if you can hear me.,motion_query
deepseek-probe-00194,My computer won't turn on. What should I check first?,chat
deepseek-probe-00195,Stop your arm mid-motion.,motion_query
deepseek-probe-00196,What should I do if the software crashes?,chat
deepseek-probe-00197,Explain the difference between a virus and bacteria.,chat
deepseek-probe-00198,What is the maximum weight you can lift?,chat
deepseek-probe-00199,How should I organize my schedule for tomorrow?,chat
deepseek-probe-00200,Can you help me plan a daily schedule for studying?,chat
