id,utterance,label
deepseek-00074,Raise your arm to stop traffic.,motion_query
deepseek-00290,Adjust your grip on that object.,motion_query
deepseek-00419,I need advice on managing stress.,chat
deepseek-00042,What is the meaning of life?,chat
deepseek-00145,Stop moving and stand still.,motion_query
deepseek-00269,Wave your hand at the camera.,motion_query
deepseek-00344,Can you give me advice on job interviews?,chat
deepseek-00489,Shake your head in disagreement.,motion_query
deepseek-00068,Bring me the book on the table.,motion_query
deepseek-00236,How do I improve my public speaking?,chat
deepseek-00303,Act out the emotion of surprise.,motion_query
deepseek-00398,Demonstrate how to perform a squat.,motion_query
deepseek-00134,Gesture goodbye to the visitor.,motion_query
deepseek-00472,I feel a bit sad today.,chat
deepseek-00071,How do I get to the nearest hospital?,chat
deepseek-00273,Can you explain the difference between empathy and sympathy?,chat
deepseek-00293,How many languages can you understand?,chat
deepseek-00376,Can you schedule a meeting for tomorrow?,chat
deepseek-00209,Turn around so I can see your back.,motion_query
deepseek-00199,Lead me to the living room.,motion_query
deepseek-00312,Can you help me with my math homework?,chat
deepseek-00324,Do you think I should take a break?,chat
deepseek-00133,Turn around and face the door.,motion_query
deepseek-00064,What is your opinion on artificial intelligence?,chat
deepseek-00017,Hold your position for five seconds.,motion_query
deepseek-00094,How does machine learning work?,chat
deepseek-00462,Show me how to tie a tie.,motion_query
deepseek-00429,Show me how to wave hello.,motion_query
deepseek-00188,What should I do to improve my posture?,chat
deepseek-00151,"Just tell me, don't show me.",chat
deepseek-00375,Place the item on the shelf.,motion_query
deepseek-00444,What are the symptoms of a cold?,chat
deepseek-00250,Nod your head if you understand me.,motion_query
deepseek-00137,Step back two paces.,motion_query
deepseek-00285,Can you explain how a car engine works?,chat
deepseek-00277,Turn your head and look at the window.,motion_query
deepseek-00043,Can you tell me a joke?,chat
deepseek-00351,Raise your arm to indicate stop.,motion_query
deepseek-00194,Can you give me a weather update?,chat
deepseek-00104,Can you translate this sentence to Spanish?,chat
deepseek-00497,How do I reset my password?,chat
deepseek-00355,What's the difference between AI and machine learning?,chat
deepseek-00485,Can you recommend a book to read?,chat
deepseek-00438,What is your favorite color?,chat
deepseek-00441,How do I meditate properly?,chat
deepseek-00081,Stay here and watch the door.,motion_query
deepseek-00353,What's the difference between a virus and a bacterium?,chat
deepseek-00034,What sensors do you have?,chat
deepseek-00256,Place your hand on the table.,motion_query
deepseek-00072,Turn your head to the left.,motion_query
deepseek-00357,Who invented the telephone?,chat
deepseek-00477,What's the difference between a comet and an asteroid?,chat
deepseek-00200,Can you hand me that book?,motion_query
deepseek-00008,Turn your head to the right.,motion_query
deepseek-00373,Put the box on the shelf.,motion_query
deepseek-00205,Show me how to do a yoga pose.,motion_query
deepseek-00416,Can you explain the theory of relativity in simple terms?,chat
deepseek-00358,What's the square root of 144?,chat
deepseek-00073,"I feel a bit down today, can you cheer me up?",chat
deepseek-00061,Hold this for a moment.,motion_query
deepseek-00476,Hold your position and don't move.,motion_query
deepseek-00185,How do I get to the nearest subway station?,chat
deepseek-00016,What are your favorite colors?,chat
deepseek-00113,What is the largest mammal on Earth?,chat
deepseek-00330,Can you explain how a battery works?,chat
deepseek-00036,"I'm feeling a bit down, can you cheer me up?",chat
deepseek-00249,Point to the book on the top shelf.,motion_query
deepseek-00060,Take three steps to the left.,motion_query
deepseek-00203,Can you sing a song?,chat
deepseek-00371,Raise your left arm.,motion_query
deepseek-00028,What should I cook for dinner tonight?,chat
deepseek-00237,What is your favorite song?,chat
deepseek-00407,What is the meaning of the word 'serendipity'?,chat
deepseek-00223,Point to the door.,motion_query
deepseek-00308,Look at the ceiling.,motion_query
deepseek-00436,How do I fix a leaking faucet?,chat
deepseek-00430,What's the difference between a virus and a bacteria?,chat
