id,utterance,label
deepseek-00001,What's your favorite hobby?,chat
deepseek-00002,What's the difference between a cat and a dog?,chat
deepseek-00003,Be still and let me measure your height.,motion_query
deepseek-00004,Come closer so I can show you something.,motion_query
deepseek-00005,"I'm feeling sad, can you cheer me up?",chat
deepseek-00006,Take a step backward.,motion_query
deepseek-00007,What's a good recipe for pasta?,chat
deepseek-00008,Turn your head to the right.,motion_query
deepseek-00009,Stay where you are.,motion_query
deepseek-00010,Place the book on the top shelf.,motion_query
deepseek-00011,What's the difference between a turtle and a tortoise?,chat
deepseek-00012,Bow down as a sign of respect.,motion_query
deepseek-00013,What is the weather forecast for tomorrow?,chat
deepseek-00014,Can you solve this math problem for me?,chat
deepseek-00015,Raise your hand if you understand.,motion_query
deepseek-00016,What are your favorite colors?,chat
deepseek-00017,Hold your position for five seconds.,motion_query
deepseek-00018,Explain how a car engine works.,chat
deepseek-00019,Turn around slowly.,motion_query
deepseek-00020,Imitate a cat stretching.,motion_query
deepseek-00021,How does a car engine work?,chat
deepseek-00022,Show me how to perform the dance step.,motion_query
deepseek-00023,How can I be more productive?,chat
deepseek-00024,Slide the book to the right.,motion_query
deepseek-00025,How can I learn Spanish quickly?,chat
deepseek-00026,Bring me the remote control.,motion_query
deepseek-00027,Can you help me plan my vacation itinerary?,chat
deepseek-00028,What should I cook for dinner tonight?,chat
deepseek-00029,What's the weather like outside?,chat
deepseek-00030,Point to the exit sign.,motion_query
deepseek-00031,Cover the food with a lid.,motion_query
deepseek-00032,What does this button do?,chat
deepseek-00033,Push the chair under the table.,motion_query
deepseek-00034,What sensors do you have?,chat
deepseek-00035,What's the capital of Australia?,chat
deepseek-00036,"I'm feeling a bit down, can you cheer me up?",chat
deepseek-00037,Raise your right arm.,motion_query
deepseek-00038,Tap your foot twice if you hear me.,motion_query
deepseek-00039,Point to the exit.,motion_query
deepseek-00040,Can you tell me a story?,chat
deepseek-00041,What are your capabilities for object detection?,chat
deepseek-00042,What is the meaning of life?,chat
deepseek-00043,Can you tell me a joke?,chat
deepseek-00044,Shake your head if you disagree.,motion_query
deepseek-00045,Bow to the audience.,motion_query
deepseek-00046,What is the best way to learn coding?,chat
deepseek-00047,Lower your voice (but no motion needed).,chat
deepseek-00048,Can you describe your emotions?,chat
deepseek-00049,Can you tell me a fun fact about space?,chat
deepseek-00050,How do I install a new app on my phone?,chat
deepseek-00051,Bring me the book from the table.,motion_query
deepseek-00052,Wave your hand goodbye.,motion_query
deepseek-00053,Point to the picture on the wall.,motion_query
deepseek-00054,Gesture towards the screen.,motion_query
deepseek-00055,Pick up the book from the table.,motion_query
deepseek-00056,Answer by raising your hand.,motion_query
deepseek-00057,I need a motivational quote.,chat
deepseek-00058,Turn your head to look at the screen.,motion_query
deepseek-00059,Describe the painting 'Starry Night'.,chat
deepseek-00060,Take three steps to the left.,motion_query
deepseek-00061,Hold this for a moment.,motion_query
deepseek-00062,Can you remember my name?,chat
deepseek-00063,Wave goodbye.,motion_query
deepseek-00064,What is your opinion on artificial intelligence?,chat
deepseek-00065,How do I calculate the area of a circle?,chat
deepseek-00066,Look at the painting on the wall.,motion_query
deepseek-00067,Can you suggest a healthy breakfast?,chat
deepseek-00068,Bring me the book on the table.,motion_query
deepseek-00069,Demonstrate how to tie a knot.,motion_query
deepseek-00070,Hand me the remote control.,motion_query
deepseek-00071,How do I get to the nearest hospital?,chat
deepseek-00072,Turn your head to the left.,motion_query
deepseek-00073,"I feel a bit down today, can you cheer me up?",chat
deepseek-00074,Raise your arm to stop traffic.,motion_query
deepseek-00075,Follow that person in the red jacket.,motion_query
deepseek-00076,Explain the theory of relativity in simple terms.,chat
deepseek-00077,Explain the theory of relativity.,chat
deepseek-00078,Demonstrate how to do a push-up.,motion_query
deepseek-00079,What was the score of the game last night?,chat
deepseek-00080,Tell me a fun fact about space.,chat
deepseek-00081,Stay here and watch the door.,motion_query
deepseek-00082,Go to the kitchen and check if the oven is on.,motion_query
deepseek-00083,What should I wear for an interview?,chat
deepseek-00084,What are the advantages of solar energy?,chat
deepseek-00085,Show me how to do a push-up.,motion_query
deepseek-00086,Take this note to the front desk.,motion_query
deepseek-00087,Gesture 'come here' with your hand.,motion_query
deepseek-00088,What ingredients are in this recipe?,chat
deepseek-00089,Can you write a poem about robots?,chat
deepseek-00090,Walk to the door and stop.,motion_query
deepseek-00091,Show me how you dance.,motion_query
deepseek-00092,Mime brushing your teeth.,motion_query
deepseek-00093,Can you help me plan a weekend trip?,chat
deepseek-00094,How does machine learning work?,chat
deepseek-00095,Can you tell me about your capabilities?,chat
deepseek-00096,Demonstrate the dance move.,motion_query
deepseek-00097,Push the button on the table.,motion_query
deepseek-00098,Explain how to change a tire.,chat
deepseek-00099,Can you tell me the news headlines?,chat
deepseek-00100,Point at the red object.,motion_query
deepseek-00101,What did you have for breakfast?,chat
deepseek-00102,Carry this box to the storage room.,motion_query
deepseek-00103,Walk in a circle around me.,motion_query
deepseek-00104,Can you translate this sentence to Spanish?,chat
deepseek-00105,Show me how to do a cartwheel.,motion_query
deepseek-00106,Demonstrate how you wave.,motion_query
deepseek-00107,What are the ingredients for a cake?,chat
deepseek-00108,What does 'serendipity' mean?,chat
deepseek-00109,Tell me a story about a brave knight.,chat
deepseek-00110,How do I boil an egg perfectly?,chat
deepseek-00111,How do I cook pasta?,chat
deepseek-00112,Tell me about the history of the internet.,chat
deepseek-00113,What is the largest mammal on Earth?,chat
deepseek-00114,What's the story behind the Mona Lisa?,chat
deepseek-00115,Compose a poem about autumn.,chat
deepseek-00116,How do I backup my phone?,chat
deepseek-00117,Move out of the way.,motion_query
deepseek-00118,What's the best time to visit Japan?,chat
deepseek-00119,Pick up the cup from the table.,motion_query
deepseek-00120,Explain how photosynthesis works.,chat
deepseek-00121,What movie would you suggest for a rainy day?,chat
deepseek-00122,What's the most popular song right now?,chat
deepseek-00123,Stand still for five seconds.,motion_query
deepseek-00124,Catch this ball.,motion_query
