id,utterance,label
seed-0001,Can you draft a schedule for my exercise goals?,chat
seed-0002,Show me a happy pose.,motion_query
seed-0003,Can you invent a silly nickname for my backpack?,chat
seed-0004,Act surprised.,motion_query
seed-0005,Can we chat for a minute?,chat
seed-0006,What is a polite reminder message for my teammate?,chat
seed-0007,Point to the nearest chair.,motion_query
seed-0008,What is 18 percent of 250?,chat
seed-0009,What assumptions are you making?,chat
seed-0010,How do I avoid forgetting my keys?,chat
seed-0011,Can you tell me if the door looks open?,chat
seed-0012,How do I start meditating?,chat
seed-0013,Do you hear any unusual noise?,chat
seed-0014,What are the pros and cons of adopting a pet?,chat
seed-0015,What name did I ask you to call me?,chat
seed-0016,Turn toward the sound.,motion_query
seed-0017,Hand out these worksheets.,motion_query
seed-0018,Make eye contact with the guest.,motion_query
seed-0019,Present the award with a bow.,motion_query
seed-0020,Please answer yes with a head nod.,motion_query
seed-0021,Straighten the chairs.,motion_query
seed-0022,Explain the difference between affect and effect.,chat
seed-0023,Can you suggest a gentle stretching routine in words?,chat
seed-0024,Explain machine learning without using jargon.,chat
seed-0025,Are you able to learn my preferences?,chat
seed-0026,Hold your current pose.,motion_query
seed-0027,Tell me the steps for setting a reminder.,chat
seed-0028,Do not come any closer.,motion_query
seed-0029,Show the class how to fold the paper.,motion_query
seed-0030,Write a short scene set in a library.,chat
seed-0031,Run your arm through its full range of motion.,motion_query
seed-0032,Point the audience toward the display.,motion_query
seed-0033,Press the elevator button.,motion_query
seed-0034,Mirror my stretch.,motion_query
seed-0035,Write a friendly thank-you note.,chat
seed-0036,Can you explain recursion in simple terms?,chat
seed-0037,Do you detect any obstacles nearby?,chat
seed-0038,Move to the center of the room.,motion_query
seed-0039,Pour water into the cup if you can.,motion_query
seed-0040,Can you store that I prefer metric units?,chat
seed-0041,What podcast topic might help me learn history?,chat
seed-0042,How do I pronounce 'algorithm'?,chat
seed-0043,Walk slowly beside me.,motion_query
seed-0044,What is a balanced breakfast idea?,chat
seed-0045,How should I prepare for a coding test?,chat
seed-0046,Can you salute the team?,motion_query
seed-0047,"If I had only ten minutes, what should I do first?",chat
seed-0048,Can you tell me a mystery riddle?,chat
seed-0049,What is the capital of Canada?,chat
seed-0050,What if two people ask you questions at once?,chat
seed-0051,Can you suggest a calm playlist for studying?,chat
seed-0052,How do I make this walkway less slippery?,chat
seed-0053,Guide the group to the cafeteria.,motion_query
seed-0054,Can you explain where the charging station is?,chat
seed-0055,Use a thumbs up if you agree.,motion_query
seed-0056,Guide my hand to the rail.,motion_query
seed-0057,Clap twice for the rhythm game.,motion_query
seed-0058,Can you listen while I vent?,chat
seed-0059,Can you summarize how GPS works?,chat
seed-0060,Reach out so I can place the item in your hand.,motion_query
seed-0061,What movements are hardest for you?,chat
seed-0062,Clean the whiteboard with the eraser.,motion_query
seed-0063,"If I split 42 cookies among 7 people, how many does each get?",chat
seed-0064,Can you do a gentle side bend?,motion_query
seed-0065,How should I divide my time before the meeting?,chat
seed-0066,Open the door for me.,motion_query
seed-0067,Who wrote Pride and Prejudice?,chat
seed-0068,What reminders did I ask for today?,chat
seed-0069,Turn the page for me.,motion_query
seed-0070,Show a charades clue for a movie title.,motion_query
seed-0071,What should I ask a doctor about my cough?,chat
seed-0072,What is photosynthesis?,chat
seed-0073,Describe the route to the cafeteria.,chat
seed-0074,Show me a playful pose.,motion_query
seed-0075,Can you look confused?,motion_query
seed-0076,How does a battery store energy?,chat
seed-0077,Can you list the dances you know without doing them?,chat
seed-0078,Place the book on the table.,motion_query
seed-0079,How many planets are in the solar system?,chat
seed-0080,My laptop will not connect to Wi-Fi; what should I try?,chat
seed-0081,Can you define the word 'resilient'?,chat
seed-0082,How do you decide what to say?,chat
seed-0083,Act out checking your pockets.,motion_query
seed-0084,Please lead us to the emergency exit.,motion_query
seed-0085,Go get the mail from the table.,motion_query
seed-0086,Extend your arm for a handshake.,motion_query
seed-0087,Lower your arm slowly.,motion_query
seed-0088,Are you saying I should start with the small task?,chat
seed-0089,How do vaccines train the immune system?,chat
seed-0090,Look at the person raising their hand.,motion_query
seed-0091,Can you remember that I prefer short answers?,chat
seed-0092,Did you understand my last question?,chat
seed-0093,Use text only for this one.,chat
seed-0094,Answer quietly without any gesture.,chat
seed-0095,What did I say my favorite color was?,chat
seed-0096,Go to the charging station.,motion_query
seed-0097,"If you could not move, how would you still help?",chat
seed-0098,What should I say when someone gives me a gift?,chat
seed-0099,Pass me the salt.,motion_query
seed-0100,Act out rowing a boat for the guessing game.,motion_query
seed-0101,Is the room bright right now?,chat
seed-0102,Can you report the temperature if you know it?,chat
seed-0103,Orient yourself toward the charging dock.,motion_query
seed-0104,Can you give me an example?,chat
seed-0105,What is the freezing point of water in Celsius?,chat
seed-0106,Help me organize a study schedule for next week.,chat
seed-0107,Open and close your gripper.,motion_query
seed-0108,How would you handle a noisy room?,chat
seed-0109,Show a victory gesture when you win.,motion_query
seed-0110,What book should I read if I like mystery stories?,chat
seed-0111,Do a quick dance for the kids.,motion_query
seed-0112,Wipe the table.,motion_query
seed-0113,Please walk to the doorway.,motion_query
seed-0114,Can you help me think about whether to switch majors?,chat
seed-0115,Stay still until I say go.,motion_query
seed-0116,I only need a verbal response.,chat
seed-0117,Can you nod if the answer is yes?,motion_query
seed-0118,Shake my hand.,motion_query
seed-0119,Can you act sleepy?,motion_query
seed-0120,When did the first airplane fly?,chat
seed-0121,Tell me the difference between a nod and a bow.,chat
seed-0122,What is your battery level?,chat
seed-0123,Do what I do with my hands.,motion_query
seed-0124,What have you learned about my morning routine?,chat
seed-0125,Tidy the cables under the desk.,motion_query
seed-0126,Clap the syllables for this word.,motion_query
seed-0127,Help me write an email to my professor.,chat
seed-0128,What is 15 plus 28?,chat
seed-0129,Use body language to answer.,motion_query
seed-0130,Copy the way I point.,motion_query
seed-0131,Please do a slow dance move.,motion_query
seed-0132,Can you point at the object you mean?,motion_query
seed-0133,Hold the light over the book.,motion_query
seed-0134,Mirror my arm movement.,motion_query
seed-0135,Hand the microphone to the next speaker.,motion_query
seed-0136,Show me which button to press by pointing.,motion_query
seed-0137,"I had a rough day, can we talk?",chat
seed-0138,Show me how to signal stop with your hand.,motion_query
seed-0139,What is the best way to take notes?,chat
seed-0140,Show excitement without speaking.,motion_query
seed-0141,Can you help me think through a conflict with a friend?,chat
seed-0142,Where is the restroom on this floor?,chat
seed-0143,What is a kind message I can send myself?,chat
seed-0144,Hand me the marker.,motion_query
seed-0145,Why do leaves change color in autumn?,chat
seed-0146,Summarize this meeting topic for me.,chat
seed-0147,What is the area of a rectangle that is 5 by 9 meters?,chat
seed-0148,Keep your camera pointed at the table.,motion_query
seed-0149,Can you repeat that in simpler words?,chat
seed-0150,Can you offer a fist bump?,motion_query
seed-0151,Set the container on the scale.,motion_query
seed-0152,Can you make this sentence sound friendlier?,chat
seed-0153,Walk me to the meeting room.,motion_query
seed-0154,Indicate the correct shelf with your hand.,motion_query
seed-0155,Carry the tray to the counter.,motion_query
seed-0156,Why do people like music?,chat
seed-0157,Can you describe how you would wave?,chat
seed-0158,Write the answer on the board.,motion_query
seed-0159,Make a calm reassuring gesture.,motion_query
seed-0160,Demonstrate how to wave someone over.,motion_query
seed-0161,Follow the ball with your gaze.,motion_query
seed-0162,Make a proud victory pose.,motion_query
seed-0163,How do I find the front desk?,chat
seed-0164,Tell me a clean joke.,chat
seed-0165,Perform a slow arm circle.,motion_query
seed-0166,Press the green button.,motion_query
seed-0167,Can you respond with motion only?,motion_query
seed-0168,Make up a riddle about a clock.,chat
seed-0169,Can you invent a name for my robot assistant?,chat
seed-0170,Open the drawer if you can.,motion_query
seed-0171,Shake your head to say no.,motion_query
seed-0172,Can you remind me what I said about the grocery list?,chat
seed-0173,Take this cup to the sink.,motion_query
