id,utterance,label,scenario,dataset_version
seed-0001,Can you draft a schedule for my exercise goals?,chat,planning_scheduling,seed_v1
seed-0002,Show me a happy pose.,motion_query,expressive_emotion_gesture,seed_v1
seed-0003,Can you invent a silly nickname for my backpack?,chat,entertainment_conversation,seed_v1
seed-0004,Act surprised.,motion_query,expressive_emotion_gesture,seed_v1
seed-0005,Can we chat for a minute?,chat,greeting_small_talk,seed_v1
seed-0006,What is a polite reminder message for my teammate?,chat,reminders_information_only,seed_v1
seed-0007,Point to the nearest chair.,motion_query,pointing_reference,seed_v1
seed-0008,What is 18 percent of 250?,chat,math_calculation,seed_v1
seed-0009,What assumptions are you making?,chat,clarification_confirmation,seed_v1
seed-0010,How do I avoid forgetting my keys?,chat,reminders_information_only,seed_v1
seed-0011,Can you tell me if the door looks open?,chat,sensor_status_verbal,seed_v1
seed-0012,How do I start meditating?,chat,health_wellness_info,seed_v1
seed-0013,Do you hear any unusual noise?,chat,sensor_status_verbal,seed_v1
seed-0014,What are the pros and cons of adopting a pet?,chat,opinions_reflection,seed_v1
seed-0015,What name did I ask you to call me?,chat,personalization_memory,seed_v1
seed-0016,Turn toward the sound.,motion_query,orientation_turning,seed_v1
seed-0017,Hand out these worksheets.,motion_query,classroom_motion,seed_v1
seed-0018,Make eye contact with the guest.,motion_query,attention_and_gaze,seed_v1
seed-0019,Present the award with a bow.,motion_query,ceremony_presentation,seed_v1
seed-0020,Please answer yes with a head nod.,motion_query,yes_no_gestures,seed_v1
seed-0021,Straighten the chairs.,motion_query,cleaning_tidying,seed_v1
seed-0022,Explain the difference between affect and effect.,chat,translation_language,seed_v1
seed-0023,Can you suggest a gentle stretching routine in words?,chat,health_wellness_info,seed_v1
seed-0024,Explain machine learning without using jargon.,chat,explanation_learning,seed_v1
seed-0025,Are you able to learn my preferences?,chat,identity_capabilities,seed_v1
seed-0026,Hold your current pose.,motion_query,stop_stay_safety,seed_v1
seed-0027,Tell me the steps for setting a reminder.,chat,reminders_information_only,seed_v1
seed-0028,Do not come any closer.,motion_query,stop_stay_safety,seed_v1
seed-0029,Show the class how to fold the paper.,motion_query,classroom_motion,seed_v1
seed-0030,Write a short scene set in a library.,chat,creative_writing,seed_v1
seed-0031,Run your arm through its full range of motion.,motion_query,calibration_robot_control,seed_v1
seed-0032,Point the audience toward the display.,motion_query,ceremony_presentation,seed_v1
seed-0033,Press the elevator button.,motion_query,accessibility_assistance_motion,seed_v1
seed-0034,Mirror my stretch.,motion_query,imitation_mimicry,seed_v1
seed-0035,Write a friendly thank-you note.,chat,creative_writing,seed_v1
seed-0036,Can you explain recursion in simple terms?,chat,explanation_learning,seed_v1
seed-0037,Do you detect any obstacles nearby?,chat,sensor_status_verbal,seed_v1
seed-0038,Move to the center of the room.,motion_query,locomotion_basic,seed_v1
seed-0039,Pour water into the cup if you can.,motion_query,kitchen_food_motion,seed_v1
seed-0040,Can you store that I prefer metric units?,chat,personalization_memory,seed_v1
seed-0041,What podcast topic might help me learn history?,chat,recommendations_preferences,seed_v1
seed-0042,How do I pronounce 'algorithm'?,chat,translation_language,seed_v1
seed-0043,Walk slowly beside me.,motion_query,locomotion_basic,seed_v1
seed-0044,What is a balanced breakfast idea?,chat,health_wellness_info,seed_v1
seed-0045,How should I prepare for a coding test?,chat,work_study_assistance,seed_v1
seed-0046,Can you salute the team?,motion_query,greeting_gestures,seed_v1
seed-0047,"If I had only ten minutes, what should I do first?",chat,hypothetical_scenarios,seed_v1
seed-0048,Can you tell me a mystery riddle?,chat,entertainment_conversation,seed_v1
seed-0049,What is the capital of Canada?,chat,factual_general_knowledge,seed_v1
seed-0050,What if two people ask you questions at once?,chat,hypothetical_scenarios,seed_v1
seed-0051,Can you suggest a calm playlist for studying?,chat,recommendations_preferences,seed_v1
seed-0052,How do I make this walkway less slippery?,chat,safety_advice,seed_v1
seed-0053,Guide the group to the cafeteria.,motion_query,navigation_guiding_by_motion,seed_v1
seed-0054,Can you explain where the charging station is?,chat,directions_navigation_verbal,seed_v1
seed-0055,Use a thumbs up if you agree.,motion_query,yes_no_gestures,seed_v1
seed-0056,Guide my hand to the rail.,motion_query,accessibility_assistance_motion,seed_v1
seed-0057,Clap twice for the rhythm game.,motion_query,games_play_motion,seed_v1
seed-0058,Can you listen while I vent?,chat,emotional_support,seed_v1
seed-0059,Can you summarize how GPS works?,chat,explanation_learning,seed_v1
seed-0060,Reach out so I can place the item in your hand.,motion_query,social_interaction_touch,seed_v1
seed-0061,What movements are hardest for you?,chat,action_capability_discussion,seed_v1
seed-0062,Clean the whiteboard with the eraser.,motion_query,cleaning_tidying,seed_v1
seed-0063,"If I split 42 cookies among 7 people, how many does each get?",chat,math_calculation,seed_v1
seed-0064,Can you do a gentle side bend?,motion_query,exercise_stretch_demo,seed_v1
seed-0065,How should I divide my time before the meeting?,chat,planning_scheduling,seed_v1
seed-0066,Open the door for me.,motion_query,accessibility_assistance_motion,seed_v1
seed-0067,Who wrote Pride and Prejudice?,chat,factual_general_knowledge,seed_v1
seed-0068,What reminders did I ask for today?,chat,reminders_information_only,seed_v1
seed-0069,Turn the page for me.,motion_query,accessibility_assistance_motion,seed_v1
seed-0070,Show a charades clue for a movie title.,motion_query,games_play_motion,seed_v1
seed-0071,What should I ask a doctor about my cough?,chat,health_wellness_info,seed_v1
seed-0072,What is photosynthesis?,chat,factual_general_knowledge,seed_v1
seed-0073,Describe the route to the cafeteria.,chat,directions_navigation_verbal,seed_v1
seed-0074,Show me a playful pose.,motion_query,expressive_emotion_gesture,seed_v1
seed-0075,Can you look confused?,motion_query,expressive_emotion_gesture,seed_v1
seed-0076,How does a battery store energy?,chat,explanation_learning,seed_v1
seed-0077,Can you list the dances you know without doing them?,chat,action_capability_discussion,seed_v1
seed-0078,Place the book on the table.,motion_query,object_manipulation,seed_v1
seed-0079,How many planets are in the solar system?,chat,factual_general_knowledge,seed_v1
seed-0080,My laptop will not connect to Wi-Fi; what should I try?,chat,troubleshooting_help,seed_v1
seed-0081,Can you define the word 'resilient'?,chat,translation_language,seed_v1
seed-0082,How do you decide what to say?,chat,identity_capabilities,seed_v1
seed-0083,Act out checking your pockets.,motion_query,demonstration_instructional,seed_v1
seed-0084,Please lead us to the emergency exit.,motion_query,navigation_guiding_by_motion,seed_v1
